x,y,Yield,D1,D2,D3,D4
0,0,3.3046450609425,0,1,1,1
2.5,0,3.48602312440435,0,1,1,1
5,0,3.56047272185595,0,1,1,1
7.5,0,3.55582210126598,0,1,1,1
10,0,3.46981185491094,1,1,0,0
12.5,0,3.34413346894396,1,1,0,0
15,0,3.28561849370829,1,1,0,0
17.5,0,3.36954382695657,1,1,0,0
20,0,3.51375971120731,1,1,0,0
22.5,0,3.47782180484272,1,1,0,0
25,0,3.74823453862836,0,1,1,1
27.5,0,3.46362881835724,0,1,1,1
30,0,3.48868180626714,0,1,1,1
32.5,0,3.59207837017415,0,1,1,1
0,2.5,3.3464141907661,0,1,1,1
2.5,2.5,3.50141033877928,0,1,1,1
5,2.5,3.54202108073246,0,1,1,1
7.5,2.5,3.53610276652089,0,1,1,1
10,2.5,3.46954238052156,1,1,0,0
12.5,2.5,3.18070946767218,1,1,0,0
15,2.5,3.17599294088312,1,1,0,0
17.5,2.5,3.23986811607177,1,1,0,0
20,2.5,3.32442059596276,1,1,0,0
22.5,2.5,3.31745969085013,1,1,0,0
25,2.5,3.74168397399039,0,1,1,1
27.5,2.5,3.77202352958036,0,1,1,1
30,2.5,3.80499105612414,0,1,1,1
32.5,2.5,3.67576194673688,0,1,1,1
0,5,3.5035740312532,0,1,1,1
2.5,5,3.59851933844787,0,1,1,1
5,5,3.71433476658893,0,1,1,1
7.5,5,3.59536202625628,0,1,1,1
10,5,3.5475271661201,1,1,0,0
12.5,5,3.20626616688053,1,1,0,0
15,5,3.03672982760763,1,1,0,0
17.5,5,2.93444110097085,1,1,0,0
20,5,3.21154972378307,1,1,0,0
22.5,5,3.23596547985193,1,1,0,0
25,5,3.67226551081116,0,1,1,1
27.5,5,3.53714193818645,0,1,1,1
30,5,3.6926164676104,0,1,1,1
32.5,5,3.74630706128064,0,1,1,1
0,7.5,3.28584777698953,0,1,1,1
2.5,7.5,3.2931170300195,0,1,1,1
5,7.5,3.36334845728792,0,1,1,1
7.5,7.5,3.34804396093161,0,1,1,1
10,7.5,3.38196333032152,1,1,0,0
12.5,7.5,3.11652673560983,1,1,0,0
15,7.5,3.01161887933823,1,1,0,0
17.5,7.5,2.83205136288798,1,1,0,0
20,7.5,3.30300395875672,1,1,0,0
22.5,7.5,3.01331551741873,1,1,0,0
25,7.5,3.27965166145751,0,1,1,1
27.5,7.5,3.35684801825289,0,1,1,1
30,7.5,3.48930734402592,0,1,1,1
32.5,7.5,3.21587738310993,0,1,1,1
0,10,3.66166058233369,0,1,1,1
2.5,10,3.79581464888724,0,1,1,1
5,10,3.92684437437113,0,1,1,1
7.5,10,3.84917116241005,0,1,1,1
10,10,3.89667034975623,1,1,0,0
12.5,10,3.58270026653822,1,1,0,0
15,10,3.69899190518649,1,1,0,0
17.5,10,3.29761731175927,1,1,0,0
20,10,3.69267481835806,1,1,0,0
22.5,10,3.38012998944156,1,1,0,0
25,10,3.70962496788231,0,1,1,1
27.5,10,3.59334701092451,0,1,1,1
30,10,3.7116135806199,0,1,1,1
32.5,10,3.60346769103153,0,1,1,1
0,12.5,3.65578368814121,0,1,1,1
2.5,12.5,3.79485920038318,0,1,1,1
5,12.5,3.98039937995703,0,1,1,1
7.5,12.5,3.7722051349912,0,1,1,1
10,12.5,3.98684879865807,1,1,0,0
12.5,12.5,3.64711530347672,1,1,0,0
15,12.5,3.75409703152783,1,1,0,0
17.5,12.5,3.38898943005153,1,1,0,0
20,12.5,3.70458550585013,1,1,0,0
22.5,12.5,3.54261631963949,1,1,0,0
25,12.5,3.72299141337156,0,1,1,1
27.5,12.5,3.54855725130157,0,1,1,1
30,12.5,3.80784530780537,0,1,1,1
32.5,12.5,3.83578024726294,0,1,1,1
0,15,3.63824056232333,0,1,1,1
2.5,15,3.83231730266507,0,1,1,1
5,15,4.01585568455492,0,1,1,1
7.5,15,3.85716645837941,0,1,1,1
10,15,4.0046721854427,1,1,0,0
12.5,15,3.75235282932465,1,1,0,0
15,15,3.87627158430696,1,1,0,0
17.5,15,3.59238429310469,1,1,0,0
20,15,3.72788681333985,1,1,0,0
22.5,15,3.54944694912998,1,1,0,0
25,15,3.77955967095075,0,1,1,1
27.5,15,3.7032892585415,0,1,1,1
30,15,3.83613464872993,0,1,1,1
32.5,15,3.77481733158201,0,1,1,1
0,17.5,3.64831006003747,0,1,1,1
2.5,17.5,3.77656108306888,0,1,1,1
5,17.5,3.93823836780747,0,1,1,1
7.5,17.5,3.81230327921625,0,1,1,1
10,17.5,3.95255077439146,1,1,0,0
12.5,17.5,3.93232340609176,1,1,0,0
15,17.5,3.8523488071589,1,1,0,0
17.5,17.5,3.60201460332301,1,1,0,0
20,17.5,3.80465030079941,1,1,0,0
22.5,17.5,3.64293089986817,1,1,0,0
25,17.5,3.84055051340419,0,1,1,1
27.5,17.5,3.74878836057075,0,1,1,1
30,17.5,3.86913013991587,0,1,1,1
32.5,17.5,3.65558847178636,0,1,1,1
0,20,3.71328168029942,0,1,1,1
2.5,20,3.79898758717373,0,1,1,1
5,20,3.94639391935188,0,1,1,1
7.5,20,3.86304934132773,0,1,1,1
10,20,3.9094975154448,1,1,0,0
12.5,20,3.97274944691131,1,1,0,0
15,20,3.95359417774803,1,1,0,0
17.5,20,3.82020227714728,1,1,0,0
20,20,3.89728836677291,1,1,0,0
22.5,20,3.854047455519,1,1,0,0
25,20,3.852568947002,0,1,1,1
27.5,20,3.75353126663991,0,1,1,1
